Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_A012_12-BA41-42-22_A012_12_ba41-42-22_3rd	A012_12_ba41-42-22_3rd	A012_12	ba41/42/22	4994715	4448218	9000007	1800641
Sample_A012_12-BA9_A012_12_ba9_3rd	A012_12_ba9_3rd	A012_12	ba9	4250364	3956404	8647216	1349021
Sample_A206_89-CB_A206_89_vermis_3rd	A206_89_vermis_3rd	A206_89	vermis	4238134	3762482	7492008	1357969
Sample_A246_93-CB_A246_93_vermis_3rd	A246_93_vermis_3rd	A246_93	vermis	4661881	4325902	7659652	2027921
Sample_A247_92-CB_A247_92_vermis_3rd	A247_92_vermis_3rd	A247_92	vermis	3747990	3311200	6426684	1200811
Sample_A268_93-CB_A268_93_vermis_3rd	A268_93_vermis_3rd	A268_93	vermis	4527445	4121380	7310036	2029900
Sample_A358_08-BA41-42-22_A358_08_ba41-42-22_3rd	A358_08_ba41-42-22_3rd	A358_08	ba41/42/22	5608103	4940928	10830377	1559469
Sample_A358_08-BA9_A358_08_ba9_3rd	A358_08_ba9_3rd	A358_08	ba9	5047739	4294755	8579039	1611490
Sample_AN00142_ba41-42-22_56	AN00142_ba41-42-22_56	AN00142	ba41/42/22	4602468	1257106	1620778	400209
Sample_AN00142-BA9_AN00142_ba9_3rd	AN00142_ba9_3rd	AN00142	ba9	4269027	3902864	6885812	1782933
Sample_AN00142_vermis_57	AN00142_vermis_57	AN00142	vermis	5777136	3900254	6619603	1717979
Sample_AN00493_ba41-42-22_105	AN00493_ba41-42-22_105	AN00493	ba41/42/22	5344730	4231718	6949135	1891381
Sample_AN00493_ba9_104	AN00493_ba9_104	AN00493	ba9	4805215	3108371	4712603	1685699
Sample_AN00493_vermis_105x	AN00493_vermis_105x	AN00493	vermis	4376657	3066098	5203770	1339485
Sample_AN00544_ba9_16	AN00544_ba9_16	AN00544	ba9	4694426	3737582	5938121	1842487
Sample_AN00764_ba41-42-22_62	AN00764_ba41-42-22_62	AN00764	ba41/42/22	5578961	3905193	6443438	1681667
Sample_AN00764_ba9_61	AN00764_ba9_61	AN00764	ba9	4541141	3441534	5200427	1608740
Sample_AN01093_ba41-42-22_107	AN01093_ba41-42-22_107	AN01093	ba41/42/22	4433470	4100816	7296068	1488242
Sample_AN01093_ba9_106	AN01093_ba9_106	AN01093	ba9	6133945	4236193	7392991	1640143
Sample_AN01093_vermis_108	AN01093_vermis_108	AN01093	vermis	4562510	3356662	5907247	1429051
Sample_AN01125_ba9_22	AN01125_ba9_22	AN01125	ba9	5873298	2159024	3309140	881537
Sample_AN01125_vermis_24	AN01125_vermis_24	AN01125	vermis	3697701	1626747	2715751	628853
Sample_AN01410_ba41-42-22_68	AN01410_ba41-42-22_68	AN01410	ba41/42/22	6138982	4716665	8120396	1947781
Sample_AN01410_ba9_67	AN01410_ba9_67	AN01410	ba9	4404129	2932147	4461153	1197087
Sample_AN01410_vermis_69	AN01410_vermis_69	AN01410	vermis	4907382	3135866	5001403	1397732
