Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	unmapped_read	uniquely_mapped_read
Sample_A012_12-BA41-42-22_A012_12_ba41-42-22_3rd	A012_12_ba41_42_22_3rd	A012_12	ba41/42/22	4994715	4448218	196395	280132
Sample_A012_12-BA9_A012_12_ba9_3rd	A012_12_ba9_3rd	A012_12	ba9	4250364	3956404	227606	362785
Sample_A206_89-CB_A206_89_vermis_3rd	A206_89_vermis_3rd	A206_89	vermis	4238134	3762482	311922	580496
Sample_A246_93-CB_A246_93_vermis_3rd	A246_93_vermis_3rd	A246_93	vermis	4661881	4325902	190075	491612
Sample_A247_92-CB_A247_92_vermis_3rd	A247_92_vermis_3rd	A247_92	vermis	3747990	3311200	277495	564791
Sample_A268_93-CB_A268_93_vermis_3rd	A268_93_vermis_3rd	A268_93	vermis	4527445	4121380	134654	418097
Sample_A358_08-BA41-42-22_A358_08_ba41-42-22_3rd	A358_08_ba41_42_22_3rd	A358_08	ba41/42/22	5608103	4940928	189518	363139
Sample_A358_08-BA9_A358_08_ba9_3rd	A358_08_ba9_3rd	A358_08	ba9	5047739	4294755	162096	577989
Sample_AN00142_ba41-42-22_56	AN00142_ba41_42_22_56	AN00142	ba41/42/22	4602468	1257106	341497	252741
Sample_AN00142-BA9_AN00142_ba9_3rd	AN00142_ba9_3rd	AN00142	ba9	4269027	3902864	263172	766719
Sample_AN00142_vermis_57	AN00142_vermis_57	AN00142	vermis	5777136	3900254	269738	791329
Sample_AN00493_ba41-42-22_105	AN00493_ba41_42_22_105	AN00493	ba41/42/22	5344730	4231718	296787	649273
Sample_AN00493_ba9_104	AN00493_ba9_104	AN00493	ba9	4805215	3108371	300272	628290
Sample_AN00493_vermis_105x	AN00493_vermis_105x	AN00493	vermis	4376657	3066098	133353	471819
Sample_AN00544_ba9_16	AN00544_ba9_16	AN00544	ba9	4694426	3737582	405934	685751
Sample_AN00764_ba41-42-22_62	AN00764_ba41_42_22_62	AN00764	ba41/42/22	5578961	3905193	330906	745035
Sample_AN00764_ba9_61	AN00764_ba9_61	AN00764	ba9	4541141	3441534	399912	839581
Sample_AN01093_ba41-42-22_107	AN01093_ba41_42_22_107	AN01093	ba41/42/22	4433470	4100816	223043	292517
Sample_AN01093_ba9_106	AN01093_ba9_106	AN01093	ba9	6133945	4236193	200420	336284
Sample_AN01093_vermis_108	AN01093_vermis_108	AN01093	vermis	4562510	3356662	173473	466863
Sample_AN01125_ba9_22	AN01125_ba9_22	AN01125	ba9	5873298	2159024	247043	494329
Sample_AN01125_vermis_24	AN01125_vermis_24	AN01125	vermis	3697701	1626747	158678	272421
Sample_AN01410_ba41-42-22_68	AN01410_ba41_42_22_68	AN01410	ba41/42/22	6138982	4716665	370214	846337
Sample_AN01410_ba9_67	AN01410_ba9_67	AN01410	ba9	4404129	2932147	434631	657711
Sample_AN01410_vermis_69	AN01410_vermis_69	AN01410	vermis	4907382	3135866	343423	736645
Sample_AN01570_ba41-42-22_59	AN01570_ba41_42_22_59	AN01570	ba41/42/22	4818366	1486451	169447	416135
Sample_AN01570_vermis_60	AN01570_vermis_60	AN01570	vermis	5152581	4436208	395871	668165
Sample_AN01971_ba41-42-22_1st	AN01971_ba41_42_22_1st	AN01971	ba41/42/22	4988148	4115411	92112	238013
Sample_AN01971_ba9_1st	AN01971_ba9_1st	AN01971	ba9	9962164	8895789	97837	406839
Sample_AN02987_ba41-42-22_1st	AN02987_ba41_42_22_1st	AN02987	ba41/42/22	5739766	4158743	228617	949865
Sample_AN02987-BA9_AN02987_ba9_3rd	AN02987_ba9_3rd	AN02987	ba9	3615349	3498587	261375	201666
Sample_AN02987_vermis_1st	AN02987_vermis_1st	AN02987	vermis	4916374	3691350	306716	718079
Sample_AN03217_ba41-42-22_1st	AN03217_ba41_42_22_1st	AN03217	ba41/42/22	4777559	3915173	393931	906240
Sample_AN03217_ba41-42-22_92	AN03217_ba41_42_22_92	AN03217	ba41/42/22	5327215	3685573	379537	826020
Sample_AN03217_ba9_2nd	AN03217_ba9_2nd	AN03217	ba9	2465596	1478529	133901	381284
Sample_AN03217_ba9_91	AN03217_ba9_91	AN03217	ba9	5349917	3193700	227870	817201
Sample_AN03217_vermis_1st	AN03217_vermis_1st	AN03217	vermis	5745051	4246006	318692	987218
Sample_AN03217_vermis_93	AN03217_vermis_93	AN03217	vermis	6597277	4429754	313873	1091510
Sample_AN03345_ba9_79	AN03345_ba9_79	AN03345	ba9	4964367	2721610	345812	682939
Sample_AN03632_ba41-42-22_1st	AN03632_ba41_42_22_1st	AN03632	ba41/42/22	5473623	4375916	291527	921013
Sample_AN03632_ba9_2nd	AN03632_ba9_2nd	AN03632	ba9	5196734	3739085	384041	921957
Sample_AN03632_vermis_1st	AN03632_vermis_1st	AN03632	vermis	5204594	3980580	348772	827464
Sample_AN03935_ba41-42-22_1st	AN03935_ba41_42_22_1st	AN03935	ba41/42/22	10551975	6863670	481599	1860791
Sample_AN03935_ba9_2nd	AN03935_ba9_2nd	AN03935	ba9	5780232	4094171	242518	1293413
Sample_AN03935_vermis_1st	AN03935_vermis_1st	AN03935	vermis	4116967	3366135	245847	512458
Sample_AN04479_ba41-42-22_11	AN04479_ba41_42_22_11	AN04479	ba41/42/22	3595741	2489046	162434	459207
Sample_AN04479_ba41-42-22_95	AN04479_ba41_42_22_95	AN04479	ba41/42/22	5856994	4423032	363373	665188
Sample_AN04479_ba9_94	AN04479_ba9_94	AN04479	ba9	3677994	2591418	327927	466682
Sample_AN04682_ba41-42-22_1st	AN04682_ba41_42_22_1st	AN04682	ba41/42/22	12597469	8581986	670950	2026824
Sample_AN04682_ba41-42-22_1st_T	AN04682_ba41_42_22_1st_T	AN04682	ba41/42/22	7595007	5286501	248860	1310590
Sample_AN04682_ba9_1st	AN04682_ba9_1st	AN04682	ba9	5167828	3996081	264889	731065
Sample_AN04682_vermis_2nd	AN04682_vermis_2nd	AN04682	vermis	3748144	2602560	176821	549686
Sample_AN05983_ba41-42-22_1st	AN05983_ba41_42_22_1st	AN05983	ba41/42/22	5203027	4089472	355465	747788
Sample_AN05983-BA9_AN05983_ba9_3rd	AN05983_ba9_3rd	AN05983	ba9	4679742	4218432	251323	945906
Sample_AN05983_vermis_1st	AN05983_vermis_1st	AN05983	vermis	6673564	5750833	335218	875385
Sample_AN06133-CB_AN06133_vermis_3rd	AN06133_vermis_3rd	AN06133	vermis	6119715	5616784	261504	967250
Sample_AN06365_ba41-42-22_1st	AN06365_ba41_42_22_1st	AN06365	ba41/42/22	4104983	3483358	343087	780205
Sample_AN06420_ba41-42-22_53	AN06420_ba41_42_22_53	AN06420	ba41/42/22	4095432	3188714	400280	834978
Sample_AN06420_ba9_52	AN06420_ba9_52	AN06420	ba9	4423681	3831320	447769	890765
Sample_AN06420_vermis_54	AN06420_vermis_54	AN06420	vermis	4245432	3489681	344108	663736
Sample_AN06875-CB_AN06875_vermis_3rd	AN06875_vermis_3rd	AN06875	vermis	4517622	4201608	276859	397442
Sample_AN07176_ba41-42-22_14	AN07176_ba41_42_22_14	AN07176	ba41/42/22	5667846	3734099	459670	764294
Sample_AN07176_ba41-42-22_97	AN07176_ba41_42_22_97	AN07176	ba41/42/22	4718804	2136253	217942	492043
Sample_AN07176_ba9_96	AN07176_ba9_96	AN07176	ba9	6135772	4523816	347591	1045900
Sample_AN07444_ba41-42-22_1st	AN07444_ba41_42_22_1st	AN07444	ba41/42/22	5873957	4284412	254815	894549
Sample_AN07444-BA9_AN07444_ba9_3rd	AN07444_ba9_3rd	AN07444	ba9	4934063	4377266	387240	969157
Sample_AN07444_vermis_2nd	AN07444_vermis_2nd	AN07444	vermis	5575648	4356466	274072	832085
Sample_AN08043_ba41-42-22_1st	AN08043_ba41_42_22_1st	AN08043	ba41/42/22	5454919	4104255	311135	951155
Sample_AN08043_ba9_1st	AN08043_ba9_1st	AN08043	ba9	4993135	4188602	398984	1020356
Sample_AN08043_vermis_1st	AN08043_vermis_1st	AN08043	vermis	6432279	5595570	485757	988160
